,mae,rmse,mape,r2,poisson_deviance,chi_squared,median_ae,percentile_90_ae,mean_residual,pct_over_predicted,pct_under_predicted
historical_average,14.661648328831799,18.95198115145836,71.7048854803982,0.19056664654138722,9.78340717590852,47802.526434522275,12.288112697800077,29.731589147286822,-0.14990021771099263,56.12033195020747,43.87966804979253
poisson,7.383405136445286,10.220240545456562,25.443375627632918,0.7646066988608573,2.5181532914939253,12323.367968994224,5.501418430225376,16.194898527722618,0.15575126575139128,52.095435684647306,47.9045643153527
position_specific,7.281577097320779,10.106591604352229,24.890950483652972,0.7698127323677002,2.441173464393,11916.75293209345,5.2226101792829285,16.010882763528574,0.054718454010293176,52.4896265560166,47.5103734439834
xgboost,7.012631893157959,9.688229244225793,24.282484127652726,0.788475513458252,2.2572594121865115,10873.10219711022,5.192368507385254,15.358980560302737,-0.12048084933728104,53.36099585062241,46.63900414937759
ensemble_weighted,7.110590965656608,9.84543401434135,24.53663170197046,0.7815552578243701,2.3341187110729016,11341.203101811025,5.265541881114836,15.547089894113833,0.02705714115403792,53.02904564315353,46.97095435684647
